Temp,TWL
26578.1,153
26578.1,159
26578.1,161
26578.1,157
26578.1,151
26578.1,151
26578.1,146
26578.1,146
26578.1,146
26578.1,142
26578.1,140
26578.1,132
26578.1,140
26578.1,144
26578.1,156
26578.1,157
26578.1,157
26578.1,159
26578.1,153
26578.1,155
26578.1,156
26578.1,162
26578.1,163
26578.1,167
26578.1,161
26578.1,156
26578.1,153
26578.1,151
26578.1,159
26578.1,155
26578.1,156
26578.1,156
26578.1,152
26578.1,172
26578.1,168
26578.1,172
26578.1,172
26578.1,169
26578.1,169
26578.1,166
26578.1,164
26578.1,154
26578.1,158
26578.1,166
26578.1,160
26578.1,160
26578.1,157
26578.1,165
26578.1,167
26578.1,163
26578.1,165
26578.1,165
26578.1,165
26578.1,167
26578.1,169
26578.1,172
26578.1,173
26578.1,173
26578.1,185
26578.1,185
26578.1,185
26578.1,181
26578.1,183
26578.1,189
26578.1,179
26578.1,183
26578.1,183
26578.1,179
26578.1,176
26578.1,174
26578.1,176
26578.1,172
26578.1,184
26578.1,177
26578.1,177
26578.1,177
26578.1,183
26578.1,184
26578.1,173
26578.1,177
26578.1,179
26578.1,179
26578.1,169
26578.1,160
26578.1,160
26578.1,161
26578.1,163
26578.1,169
26578.1,169
26578.1,168
26578.1,168
26578.1,165
26578.1,166
26578.1,162
26578.1,162
26578.1,168
26578.1,171
26578.1,171
26578.1,169
26578.1,169
26578.1,175
26578.1,178
26578.1,170
26578.1,170
26578.1,160
26578.1,157
26578.1,146
26578.1,152
26578.1,158
26578.1,160
26578.1,164
26578.1,162
26578.1,164
26578.1,162
26578.1,168
26578.1,164
26578.1,164
26578.1,164
26578.1,165
26578.1,163
26578.1,163
26578.1,162
26578.1,168
26578.1,168
26578.1,166
26578.1,160
26578.1,166
26578.1,170
26578.1,167
26578.1,165
26578.1,163
26578.1,169
26578.1,166
26578.1,172
26578.1,175
26578.1,177
26578.1,175
26578.1,177
26578.1,174
26578.1,172
26578.1,174
26578.1,173
26578.1,170
26578.1,164
26578.1,164
26578.1,164
26578.1,166
26578.1,163
26578.1,171
26578.1,173
26578.1,173
26578.1,173
26578.1,172
26578.1,167
26578.1,171
26578.1,185
26578.1,185
26578.1,188
26578.1,189
26578.1,180
26578.1,176
26578.1,184
26578.1,178
26578.1,182
26578.1,184
26578.1,189
26578.1,184
26578.1,180
26578.1,182
26578.1,182
26578.1,176
26578.1,175
26578.1,177
26578.1,177
26578.1,179
26578.1,185
26578.1,190
26578.1,196
26578.1,194
26578.1,188
26578.1,184
26578.1,182
26578.1,181
26578.1,179
26578.1,197
26578.1,200
26578.1,204
26578.1,204
26578.1,201
26578.1,199
26578.1,186
26578.1,182
26578.1,178
26578.1,188
26578.1,192
26578.1,192
26578.1,194
26578.1,196
26578.1,199
26578.1,193
26578.1,195
26578.1,194
26578.1,198
26578.1,184
26578.1,187
26578.1,185
26578.1,183
26578.1,184
26578.1,184
26578.1,184
26578.1,183
26578.1,178
26578.1,184
26578.1,178
26578.1,178
26578.1,182
26578.1,180
26578.1,177
26578.1,176
26578.1,168
26578.1,168
26578.1,168
26578.1,167
26578.1,162
26578.1,161
26578.1,159
26578.1,159
26578.1,157
26578.1,163
26578.1,156
26578.1,156
26578.1,156
26578.1,174
26578.1,171
26578.1,177
26578.1,169
26578.1,169
26578.1,163
26578.1,159
26578.1,163
26578.1,161
26578.1,159
26578.1,161
26578.1,163
26578.1,179
26578.1,179
26578.1,176
26578.1,174
26578.1,176
26578.1,174
26578.1,173
26578.1,177
26578.1,185
26578.1,181
26578.1,173
26578.1,173
26578.1,173
26578.1,172
26578.1,164
26578.1,166
26578.1,170
26578.1,167
26578.1,179
26578.1,171
26578.1,177
26578.1,183
26578.1,183
26578.1,175
26578.1,174
26578.1,172
26578.1,163
26578.1,161
26578.1,162
26578.1,167
26578.1,169
26578.1,177
26578.1,177
26578.1,175
26578.1,175
26578.1,173
26578.1,170
26578.1,176
26578.1,182
26578.1,183
26578.1,182
26578.1,181
26578.1,186
26578.1,180
26578.1,176
26578.1,173
26578.1,170
26578.1,160
26578.1,163
26578.1,163
26578.1,166
26578.1,160
26578.1,165
26578.1,164
26578.1,164
26578.1,166
26578.1,166
26578.1,160
26578.1,160
26578.1,154
26578.1,153
26578.1,155
26578.1,158
26578.1,155
26578.1,154
26578.1,156
26578.1,163
26578.1,164
26578.1,169
26578.1,169
26578.1,164
26578.1,166
26578.1,162
26578.1,166
26578.1,158
26578.1,156
26578.1,159
26578.1,155
26578.1,153
26578.1,157
26578.1,145
26578.1,143
26578.1,146
26578.1,144
26578.1,146
26578.1,143
26578.1,139
26578.1,143
26578.1,138
26578.1,144
26578.1,144
26578.1,144
26578.1,144
26578.1,138
26578.1,146
26578.1,143
26578.1,145
26578.1,145
26578.1,148
26578.1,148
26578.1,150
26578.1,144
26578.1,140
26578.1,142
26578.1,136
26578.1,135
26578.1,134
26578.1,132
26578.1,136
26578.1,135
26578.1,142
26578.1,144
26578.1,148
26578.1,148
19933.6,160
19933.6,172
19933.6,184
19933.6,186
19933.6,186
19933.6,185
19933.6,182
19933.6,179
19933.6,179
19933.6,179
19933.6,173
19933.6,175
19933.6,169
19933.6,172
19933.6,172
19933.6,166
19933.6,152
19933.6,156
19933.6,154
19933.6,156
19933.6,160
19933.6,160
19933.6,171
19933.6,171
19933.6,183
19933.6,182
19933.6,179
19933.6,185
19933.6,177
19933.6,177
19933.6,178
19933.6,178
